1,"Ace (1920 automobile)"," The Ace was an American-assembled car made in Ypsilanti Michigan by the Apex Motor Corporation. The initial batch of cars assembled were sent to Seattle Washington dealer FE Earnest who had the idea for the Ace after he was unable to secure a steady supply of new cars for his dealership.The most interesting feature of the Ace was the Guy Disc-Valve motor created by engineer Fred M Guy."
1,"Gone Records"," Gone Records originally Real Gone was a record label founded by George Goldner that was active in the late 1950s and early 1960s. Among the artists that recorded for the label were Bill Haley & His Comets Ral Donner Jo-Ann Campbell and Johnny Rivers. It was acquired by Morris Levy and incorporated into Roulette Records in 1962."
1,"Parkdean Holidays"," Parkdean Holidays is a UK focused self-catering Holiday Park operator with 24 sites : fifteen in the South West of England six in Scotland two in South Wales and one in Norfolk."
1,"Provexis"," Provexis PLC is a company established in 1999 to bring the tomato extract FruitFlow to the market. The FruitFlow product has been approved by the European Food Safety Authority as having a positive effect in the prevention of blood platelet aggregation. It was discovered by Professor Asim Duttaroy ten years ago when he was working at the Rowett Institute of Nutrition and Health of Aberdeen University. He is now working at the Faculty of Medicine University of Oslo Norway."
1,"Kariba Ferries"," Kariba Ferries is a Zimbabwean ferry operator. The company operates on Lake Kariba between the fishing camp of Mlibizi (With access to Victoria Falls) in the south and Kariba town in the north. It offers an alternative route saving roughly 8 Hours driving or roughly 1250 km."
1,"Ridley's Brewery"," Ridley's Brewery is a defunct brewing company. It was founded in 1842 and was located in Hartford End Essex. In August 2002 the company bought out the Tolly Cobbold brewery. Then in 2005 Ridley's was bought by Greene King and dismantled. The executive chairman of Greene King is Nicholas Ridley the great-great-grandson of Thomas Dixon Ridley the founder of Ridley's."
1,"Ten Network Holdings"," Ten Network Holdings Ltd is one of Australia's major media companies. It is headquartered in Sydney Australia."
1,"Motion Equity Partners"," Motion Equity Partners is a private equity firm focused on leveraged buyout investments in European middle-market companies across a range of industries.The firm has offices in London Milan and Paris. The firm was founded in 1989 as Electra Partners Europe and affiliate of Electra Private Equity a listed investment trust. The firm has raised approximately €2.3 billion since inception across its two funds."
1,"Bin Quraya"," Bin Quraya Group through its rental division: BQ Rental is the leading Mobile Cranes and Heavy Equipment rental firm in Saudi Arabia with one of the Middle East's largest heavy equipment fleets. The company is based in Dhahran Saudi Arabia with clients and projects all over the Kingdom."
1,"L-1 Identity Solutions"," L-1 Identity Solutions Inc. is a large American defense contractor in Connecticut. It was formed on August 29 2006 from a merger of Viisage Technology Inc. and Identix Incorporated. It specializes in selling face recognition systems electronic passports such as Fly Clear and other biometric technology to governments such as the United States and Saudi Arabia."
1,"Azteca Productions"," Azteca Productions is an American independent comic book publisher and imprint founded by artist-creator Richard Dominguez in 1993. The company's first publication was El Gato Negro #1 showcasing the debut of the eponymous character in what is now considered the company's flagship series. Publications went on hiatus during the rise and fall of the speculative market in the late '90s until Dominguez returned in 2004."
1,"McGarrah Jessee"," McGarrah Jessee is an advertising agency based in Austin Texas."
1,"Houbunsha"," Houbunsha (芳文社 Hōbunsha) is a Japanese publishing company founded on July 10 1950."
1,"Keebler Company"," The Keebler Company is the largest cookie and cracker manufacturer in the United States. Founded in 1853 it has produced numerous baked snacks. Keebler has marketed its brands such as Cheez-It (which have the Sunshine Biscuits brand) Chips Deluxe Club Crackers E.L."
1,"STV Group (Scotland)"," STV Group plc is a Scottish media company. It is a constituent of the FTSE Fledgling Index. Originally formed as Scottish Television it changed its name to Scottish Media Group in 1996 when it acquired Caledonian Publishing owners of Glasgow-based newspapers The Herald and Evening Times (both of which have since been sold). It then went on to acquire the ITV licence holder for Northern Scotland Grampian Television in 1997. Scottish and Grampian merged brands in 2006 to form STV."
1,"United States Power Squadrons"," The United States Power Squadrons (USPS) is a non-profit educational organization founded in 1914 whose mission is to improve maritime safety and enjoyability through classes in seamanship navigation and other related subjects. The USPS comprises approximately 45000 members organized into 450 squadrons across the United States and in some US territories. It is America's largest non-profit boating organization and has been honored by three US presidents for its civil contributions."
1,"Poptel"," Poptel was a British internet and on-line services provider that was run by an employee cooperative (worker cooperative) from 1986 to 2002.In the 1980s Poptel offered on-line communications and information services to international NGOs working in particular with the Interdoc group. Poptel was a partner in the Manchester Host and the Kirklees Host and became known as a provider of Internet services to the Labour Party."
1,"Network Automation"," Network Automation is a Los Angeles-based software company. The company develops business process automation software designed to simplify repetitive information technology processes on desktop computers and servers."
1,"International Association for Energy Economics"," International Association for Energy Economics (IAEE) is an international non-profit society of professionals interested in energy economics. IAEE was founded in 1977 in the period of the energy crisis when it became obvious that lack of knowledge on energy economics is one of the problems when dealing with the short- and long-term issues of energy supply and demand. IAEE is incorporated under USA laws and has headquarters in Chicago."
1,"Square Enix"," Square Enix Holdings Co. Ltd. (株式会社スクウェア・エニックス・ホールディングス Kabushiki-gaisha Sukuwea Enikkusu Hōrudingusu) is a Japanese video game developer publisher and distribution company that is best known for its role-playing video game franchises which include the Final Fantasy series the Dragon Quest series and the Kingdom Hearts action RPG series."
1,"Hong Kong Television Network"," Hong Kong Television Network Limited (HKTV Chinese: 香港電視網絡有限公司) is a planned Hong Kong television station.HKTV's application of Hong Kong domestic free television programme service license has been rejected by the Hong Kong government in October 2013. Later HKTV has acquired the mobile television network owned by CMHK and planned to launch the first 2 channels on 1 July 2014. HKTV is also planning to challenge the government's decision by judicial review."
1,"European Newspaper Publishers Association"," The European Newspaper Publishers' Association (ENPA) is an international non-profit advocating the interests of the European newspaper publishing industry at different European and international organisations and institutions. The association represents over 5200 national regional and local newspaper titles published in 25 European countries and read by over 300 million Europeans every day in addition to the millions of unique daily visits to online newspapers websites."
1,"TNT Golf"," TNT Golf is a Canadian manufacturer of golf equipment and accessories. It manufacturers clubs such as woods irons putters and wedges.TNT Golf has the exclusive rights to the Looney Tunes golf products in North America and manufactures other apparel which feature characters such as Bugs Bunny Daffy Duck Yosemite Sam Sylvester the cat and Tweety."
1,"Activ Solar"," Activ Solar GmbH headquarterd in Vienna Austria is engaged in the production of polycrystalline silicon (polysilicon) for the solar PV industry and the development of large-scale photovoltaic power stations. The company is a member of the European Photovoltaic Industry Association.Activ Solar maintains offices in Vienna and Wiener Neustadt in Austria and in Kiev Zaporizhia Simferopol and Odessa in Ukraine.[citation needed]"
1,"Lloyds Bank of Canada"," Lloyds Bank of Canada was formed in 1986 when Lloyds Bank plc of the United Kingdom purchased the Continental Bank of Canada. This bank had been formed earlier in the 1980s when IAC a financing company decided to expand the scope of operations.In 1990 after several years of losses Lloyds Bank sold its Canadian operations to the Hongkong Bank of Canada a subsidiary of London-based HSBC Holdings plc."
1,"Diana Department Store"," Diana Department Store (Thai: ไดอาน่า ดีพาร์ทเมนท์สโตร์) is a chain of department stores in southern Thailand.The company has three stores: two in Hat Yai Songkhla Province and one in Pattani. It also has a chain of Di-Mart convenience stores in Songkhla and Pattani.In 2006 Diana Department Store was exit from SET company sold under backdoor of DragonOne company. The old SET code was DIANA."
1,"Alliance Semiconductor"," Alliance Semiconductor Corporation designs and manufactures memory and memory-intensive logic. Alliance's product lines include Static Random Access Memory (SRAM) Pseudo SRAM (PSRAM) Dynamic Random Access Memory (DRAM) Flash Memory and embedded memory and logic solutions. For a little while they also sold some video chipsets for PCs. Founded in 1985 Alliance is headquartered in Santa Clara California with design centers in Santa Clara as well as Hyderabad and Bangalore India."
1,"Designclue"," designclue is a global online crowdsourcing platform founded by PurpleCow Inc. in 2012.In the website companies / organizations / individuals can create custom Contest to find independent freelance creators and purchase their creatives.Independent contractors (mostly designers) create online profiles and portfolios submit proposals to each contests and collaborate and receive payment through the designclue website."
